MONTH,DAY_OF_MONTH,OP_CARRIER_FL_NUM,ORIGIN_CITY_NAME,DEST_CITY_NAME,DEP_DELAY,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,25,1885,"Newark, NJ","San Francisco, CA",3,,,,,,
1,25,1882,"Los Angeles, CA","Newark, NJ",-8,,,,,,
1,25,1878,"Newark, NJ","San Francisco, CA",-3,,,,,,
1,25,1877,"Tampa, FL","Newark, NJ",-12,,,,,,
1,25,1869,"Newark, NJ","Orlando, FL",-6,,,,,,
1,25,1868,"Boston, MA","Newark, NJ",-4,,,,,,
1,25,1861,"West Palm Beach/Palm Beach, FL","Newark, NJ",-8,,,,,,
1,25,1857,"Newark, NJ","Fort Myers, FL",14,,,,,,
1,25,1855,"Orlando, FL","Newark, NJ",-2,,,,,,
1,25,1849,"Newark, NJ","Atlanta, GA",-12,,,,,,
1,25,1849,"Raleigh/Durham, NC","Newark, NJ",-9,,,,,,
1,25,1846,"New Orleans, LA","Newark, NJ",2,,,,,,
1,25,1837,"Newark, NJ","Austin, TX",-5,,,,,,
1,25,1834,"Fort Myers, FL","Newark, NJ",-12,,,,,,
1,25,1831,"Newark, NJ","Miami, FL",-1,,,,,,
1,25,1827,"Newark, NJ","San Diego, CA",-7,,,,,,
1,25,1818,"Newark, NJ","Chicago, IL",-6,,,,,,
